Initial,date,course_id,time(m),summary,,,,,,,,,,,
KM,1/8/24,MATH-215-01,50,Learned about linear systems,,,,,,,,,,1,MATH-215-01
KM,1/9/24,DS-160-01,75,In class activities,,,,,,,,,,2,DS-160-01
KM,1/9/24,BUSA-245-02,75,Learned about information systems,,,,,,,,,,3,BUSA-245-02
KM,1/9/24,PSYC-313-01,75,Learned about histroy of cognition,,,,,,,,,,4,PSYC-313-01
KM,10-Jan,MATH-215-01,50,Learned about linear systems,,,,,,,,,,,
KM,1/11/24,PSYC-313-01,75,Learned about histroy of cognition,,,,,,,,,,,
KM,1/11/24,DS-160-01,75,In class activities,,,,,,,,,,,
KM,1/11/24,BUSA-245-02,75,Learned about information systems,,,,,,,,,,,
KM,1/12/24,MATH-215-01,50,Learned about linear systems,,,,,,,,,,,
KM,16-Jan,BUSA-245-02,23,Lab for class,,,,,,,,,,,
KM,1/16/24,MATH-215-01,90,Homework,,,,,,,,,,,
KM,1/18/24,DS-160-01,62,Class Assignment,,,,,,,,,,,
KM,1/22/24,MATH-215-01,50,Learned about linear systems,,,,,,,,,,,
KM,1/23/24,DS-160-01,75,In class activities,,,,,,,,,,,
KM,1/23/24,BUSA-245-02,75,Learned about information systems,,,,,,,,,,,
KM,1/23/24,PSYC-313-01,75,Learned about histroy of cognition,,,,,,,,,,,
KM,1/22/24,DS-160-01,78,Podcast 1,,,,,,,,,,,
KM,1/24/24,MATH-215-01,50,Learned about linear systems,,,,,,,,,,,
KM,1/24/24,PSYC-313-01,30,Homework,,,,,,,,,,,
KM,1/25/24,PSYC-313-01,75,Learned about histroy of cognition,,,,,,,,,,,
KM,1/25/24,DS-160-01,75,In class activities,,,,,,,,,,,
KM,1/25/24,BUSA-245-02,75,Learned about information systems,,,,,,,,,,,
KM,1/26/24,MATH-215-01,50,Learned about linear systems,,,,,,,,,,,
KM,1/29/24,MATH-215-01,50,Learned about linear systems,,,,,,,,,,,
KM,1/30/24,MATH-215-01,60,Homework,,,,,,,,,,,
KM,1/30/24,PSYC-313-01,75,Learned about histroy of cognition,,,,,,,,,,,
KM,1/30/24,DS-160-01,75,In class activities,,,,,,,,,,,
KM,1/30/24,BUSA-245-02,75,Learned about information systems,,,,,,,,,,,
KM,1/31/24,MATH-215-01,50,Learned about linear systems,,,,,,,,,,,
KM,2/1/24,PSYC-313-01,75,Learned about histroy of cognition,,,,,,,,,,,
KM,2/1/24,DS-160-01,75,In class activities,,,,,,,,,,,
KM,2/1/24,BUSA-245-02,75,Learned about information systems,,,,,,,,,,,
KM,2/4/24,MATH-215-01,243,Project 1,,,,,,,,,,,
